,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
32450,10509515,HZ251054,05/04/2016 12:50:00 PM,004XX W 97TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2223,22.0,21.0,73.0,18,1174958.0,1840580.0,2016,05/11/2016 03:50:55 PM,41.717933377,-87.634796373,"(41.717933377, -87.634796373)"
32859,10512082,HZ253323,05/03/2016 09:00:00 AM,021XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,132,1.0,2.0,33.0,11,1177540.0,1890161.0,2016,05/10/2016 03:56:50 PM,41.853930752,-87.623841071,"(41.853930752, -87.623841071)"
33341,10512232,HZ253420,05/03/2016 05:00:00 PM,066XX N GREENVIEW AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,2432,24.0,40.0,1.0,17,1165070.0,1944128.0,2016,05/10/2016 03:56:50 PM,42.002292941,-87.668073655,"(42.002292941, -87.668073655)"
33406,10512295,HZ253524,05/03/2016 04:00:00 PM,078XX S KENWOOD AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,411,4.0,8.0,45.0,06,1186568.0,1853360.0,2016,05/10/2016 03:56:50 PM,41.752736679,-87.591870628,"(41.752736679, -87.591870628)"
33472,10512308,HZ253532,05/03/2016 10:00:00 AM,017XX W 59TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,715,7.0,15.0,67.0,26,1165442.0,1865561.0,2016,05/10/2016 03:56:50 PM,41.786691384,-87.668943302,"(41.786691384, -87.668943302)"
33516,10512570,HZ253700,05/03/2016 12:00:00 PM,022XX W 71ST ST,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,False,False,832,8.0,18.0,66.0,06,1162537.0,1857540.0,2016,05/10/2016 03:56:50 PM,41.764741768,-87.679818093,"(41.764741768, -87.679818093)"
33538,10512605,HZ253685,05/03/2016 11:00:00 AM,038XX N SPAULDING AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1733,17.0,33.0,16.0,11,1153705.0,1925357.0,2016,05/10/2016 03:56:50 PM,41.951018949,-87.710386648,"(41.951018949, -87.710386648)"
34119,10509532,HZ251088,05/04/2016 12:50:00 PM,020XX W JACKSON BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,1225,12.0,2.0,28.0,26,1162659.0,1898621.0,2016,05/11/2016 03:50:55 PM,41.877470199,-87.678222877,"(41.877470199, -87.678222877)"
34270,10512841,HZ254217,05/03/2016 05:30:00 PM,065XX S DR MARTIN LUTHER KING JR DR,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,STREET,False,False,312,3.0,20.0,42.0,03,1180045.0,1861769.0,2016,05/10/2016 03:56:50 PM,41.775963639,-87.615517372,"(41.775963639, -87.615517372)"
35207,10509533,HZ251056,05/04/2016 08:00:00 AM,080XX S ASHLAND AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,611,6.0,21.0,71.0,06,1167071.0,1851447.0,2016,05/11/2016 03:50:55 PM,41.74792601,-87.663373604,"(41.74792601, -87.663373604)"
